weather_main,temp,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,clouds_all,rain_1h,rain_3h,snow_1h,snow_3h,dt,sunrise,sunset
Clouds,-1.52,-6.11,-2.86,-1.01,1002,100,10000,2.1,70,20,0,0,0,0,1585164600,1585177320,1585217400
Clouds,-1.52,-6.38,-2.69,-0.83,1002,100,10000,2.1,60,20,0,0,0,0,1585164600,1585177320,1585217400
Clouds,-1.39,-6.01,-3.17,-0.85,1002,100,10000,2.1,90,20,0,0,0,0,1585165200,1585177320,1585217400
Clouds,-1.46,-5.47,-3.19,-0.87,1002,100,10000,2.1,80,20,0,0,0,0,1585165500,1585177320,1585217400
Clouds,-0.93,-5.06,-2.46,0.37,1001,100,10000,2.6,80,40,0,0,0,0,1585165800,1585177320,1585217400
Clouds,-1.46,-6.09,-3.21,-0.48,1002,100,10000,2.1,60,20,0,0,0,0,1585165500,1585177320,1585217400
Clouds,-0.97,-5.54,-2.45,0.37,1001,100,10000,2.6,90,40,0,0,0,0,1585166400,1585177320,1585217400
Clouds,-0.9,-5.59,-1.7,0.13,1001,100,10000,2.6,70,40,0,0,0,0,1585166700,1585177320,1585217400
Clouds,-0.97,-5.02,-2.41,-0.21,1001,100,10000,2.6,70,40,0,0,0,0,1585166400,1585177320,1585217400
Clouds,-0.91,-5.68,-2.03,-0.2,1001,100,10000,2.6,70,40,0,0,0,0,1585167180,1585177320,1585217400
Clouds,-1.14,-6.04,-2.13,-0.19,1001,92,10000,2.6,90,40,0,0,0,0,1585167600,1585177320,1585217400
Clouds,-1.14,-5.61,-2.81,-0.18,1001,92,10000,2.6,60,40,0,0,0,0,1585167600,1585177320,1585217400
Clouds,-1.14,-5.59,-2.63,-0.03,1001,92,10000,2.6,60,40,0,0,0,0,1585167600,1585177320,1585217400
Clouds,-1.17,-6.12,-2.27,-0.24,1001,92,10000,2.6,90,40,0,0,0,0,1585168260,1585177320,1585217400
Clouds,-1.17,-5.8,-2.12,0.03,1001,92,10000,2.6,90,40,0,0,0,0,1585168260,1585177320,1585217400
Clouds,-1.26,-5.4,-2.42,-0.09,1001,92,10000,2.6,80,40,0,0,0,0,1585169100,1585177320,1585217400
Clouds,-1.34,-5.95,-2.22,-0.78,1001,100,10000,2.1,70,40,0,0,0,0,1585169400,1585177320,1585217400
Clouds,-1.26,-5.28,-2.87,0.12,1001,92,10000,2.6,90,40,0,0,0,0,1585169100,1585177320,1585217400
Clouds,-1.34,-6.12,-2.22,-0.25,1001,100,10000,2.1,70,40,0,0,0,0,1585169400,1585177320,1585217400
Clouds,-0.84,-5.17,-2.21,0.23,1001,100,10000,2.1,60,40,0,0,0,0,1585170000,1585177320,1585217400
Clouds,-0.79,-5.39,-2.05,-0.18,1001,100,10000,2.1,70,40,0,0,0,0,1585170600,1585177320,1585217400
Clouds,-0.84,-5.72,-2.29,-0.24,1001,100,10000,2.1,70,40,0,0,0,0,1585170000,1585177320,1585217400
Clouds,-0.79,-5.33,-2.17,0.16,1001,100,10000,2.1,70,40,0,0,0,0,1585170600,1585177320,1585217400
Clouds,-0.93,-5.76,-1.74,0.4,1001,100,10000,2.6,80,75,0,0,0,0,1585171500,1585177320,1585217400
Clouds,-0.94,-5.68,-2.53,0,1001,100,10000,2.6,70,75,0,0,0,0,1585171800,1585177320,1585217400
Clouds,-0.94,-5.71,-1.9,0.13,1001,100,10000,2.6,80,75,0,0,0,0,1585171800,1585177320,1585217400
Clouds,-0.9,-5.31,-1.75,0.57,1001,100,10000,2.6,60,75,0,0,0,0,1585172400,1585177320,1585217400
Clouds,-0.9,-5.14,-1.71,-0.37,1001,100,10000,2.6,90,75,0,0,0,0,1585172400,1585177320,1585217400
Clouds,-0.9,-5.21,-2.19,0.52,1001,100,10000,2.6,60,75,0,0,0,0,1585172400,1585177320,1585217400
Fog,-0.58,-4.88,-1.53,0.2,1001,100,10000,2.6,60,75,0,0,0,0,1585173300,1585177320,1585217400
Fog,-0.57,-4.92,-1.81,0.37,1001,100,10000,2.6,80,75,0,0,0,0,1585173600,1585177320,1585217400
Fog,-0.57,-4.9,-1.91,0.7,1001,100,10000,2.6,80,75,0,0,0,0,1585173600,1585177320,1585217400
Fog,-0.5,-4.61,-1.59,0.45,1001,100,10000,2.6,60,75,0,0,0,0,1585174200,1585177320,1585217400
Fog,-0.5,-5.21,-1.94,0.05,1001,100,10000,2.6,60,75,0,0,0,0,1585174200,1585177320,1585217400
Mist,-0.45,-4.58,-1.32,0.73,1001,100,10000,2.1,70,75,0,0,0,0,1585174800,1585177320,1585217400
Mist,-0.45,-4.89,-1.37,0.78,1001,100,10000,2.1,90,75,0,0,0,0,1585175100,1585177320,1585217400
Mist,-0.37,-5.29,-1.96,0.91,1001,100,10000,2.1,80,75,0,0,0,0,1585175400,1585177320,1585217400
Mist,-0.37,-4.95,-1.72,0.9,1001,100,10000,2.1,70,75,0,0,0,0,1585175400,1585177320,1585217400
Mist,-0.36,-5.18,-2.03,0.69,1001,100,10000,2.1,60,75,0,0,0,0,1585176000,1585177320,1585217400
Mist,-0.36,-4.48,-1.7,0.88,1001,100,10000,2.1,70,75,0,0,0,0,1585176000,1585177320,1585217400
Mist,-0.36,-4.76,-2.12,0.61,1001,100,10000,2.1,90,75,0,0,0,0,1585176000,1585177320,1585217400
Clouds,-0.61,-5.02,-1.75,0.52,1001,92,10000,2.1,90,40,0,0,0,0,1585176900,1585177320,1585217400
Clouds,-0.61,-4.8,-1.53,0.85,1001,92,10000,2.1,80,40,0,0,0,0,1585176900,1585177320,1585217400
Clouds,-0.64,-5.16,-2.06,0.37,1001,92,10000,2.1,70,40,0,0,0,0,1585177500,1585177320,1585217400
Clouds,-0.64,-4.66,-1.53,0.24,1001,92,10000,2.1,60,40,0,0,0,0,1585177500,1585177320,1585217400
Clouds,-0.51,-5.04,-1.7,0.16,1001,92,10000,2.1,80,40,0,0,0,0,1585178100,1585177320,1585217400
Clouds,-0.51,-4.89,-1.59,0.06,1001,92,10000,2.1,80,40,0,0,0,0,1585178100,1585177320,1585217400
Clouds,-1.32,-5.53,-2.14,-0.13,1001,92,10000,3.1,60,40,0,0,0,0,1585178700,1585177320,1585217400
Clouds,-1.33,-5.97,-3.02,0.12,1001,92,10000,3.1,60,40,0,0,0,0,1585179000,1585177320,1585217400
Clouds,-1.33,-5.37,-3.08,0.1,1001,92,10000,3.1,60,40,0,0,0,0,1585179000,1585177320,1585217400
Clouds,-1.33,-5.52,-2.66,-0.36,1001,92,10000,3.1,70,40,0,0,0,0,1585179000,1585177320,1585217400
Clouds,-0.62,-5.19,-1.63,0.39,1001,92,10000,3.1,70,40,0,0,0,0,1585179900,1585177320,1585217400
Clouds,-0.64,-5.41,-1.66,-0.03,1001,100,10000,2.6,70,20,0,0,0,0,1585180200,1585177320,1585217400
Clouds,-0.62,-4.65,-1.67,0.66,1001,92,10000,3.1,60,40,0,0,0,0,1585179900,1585177320,1585217400
Clouds,-0.65,-5.49,-2.32,0.13,1001,100,10000,2.6,60,20,0,0,0,0,1585180800,1585177320,1585217400
Clouds,-0.65,-4.98,-1.92,0.22,1001,100,10000,2.6,70,20,0,0,0,0,1585180800,1585177320,1585217400
Clouds,-0.33,-5.15,-1.57,0.47,1001,100,10000,2.6,80,20,0,0,0,0,1585181400,1585177320,1585217400
Clouds,-0.33,-4.63,-1.86,0.3,1001,100,10000,2.6,90,20,0,0,0,0,1585181400,1585177320,1585217400
