number,available_bike_stands,available_bikes,last_update
3,14,6,1586856886000
103,34,6,1586856835000
28,22,7,1586856754000
83,25,14,1586856788000
92,23,16,1586856893000
21,24,6,1586856840000
88,11,18,1586856819000
42,10,20,1586856904000
54,21,10,1586857020000
108,33,7,1586857073000
6,19,1,1586857089000
18,28,2,1586857129000
32,16,14,1586857011000
52,24,7,1586857008000
48,29,9,1586857049000
43,28,2,1586857122000
81,28,10,1586857141000
31,15,5,1586857091000
23,8,22,1586856928000
112,9,20,1586857149000
68,28,12,1586857193000
87,29,8,1586857049000
84,24,6,1586856951000
90,31,9,1586856977000
11,19,11,1586856970000
17,12,7,1586857203000
45,23,7,1586857201000
114,29,10,1586856912000
72,31,0,1586856941000
91,19,11,1586857201000
99,24,6,1586856935000
9,9,15,1586857168000
67,37,3,1586856910000
55,31,4,1586857040000
5,32,8,1586857039000
97,38,2,1586856929000
61,17,8,1586857091000
4,6,13,1586856968000
7,23,6,1586856942000
102,27,12,1586857028000
38,12,28,1586857025000
53,29,11,1586857049000
66,13,27,1586857154000
104,29,11,1586857124000
101,23,7,1586857023000
115,23,7,1586857053000
47,29,11,1586856988000
117,29,11,1586857069000
27,14,6,1586857019000
76,37,1,1586856914000
94,31,9,1586856921000
22,6,13,1586857146000
50,36,4,1586856925000
12,12,8,1586857079000
78,6,33,1586857025000
2,20,0,1586857058000
111,35,5,1586857011000
65,23,17,1586857070000
10,1,14,1586856933000
24,14,6,1586857039000
64,34,5,1586856939000
109,13,16,1586857190000
107,31,9,1586857124000
33,2,18,1586857107000
44,25,4,1586857203000
57,17,6,1586857091000
80,25,15,1586857200000
41,19,1,1586857182000
3,14,6,1586856933000
40,8,13,1586857155000
29,1,28,1586857075000
28,22,7,1586857061000
39,18,2,1586857165000
92,24,15,1586857027000
30,18,2,1586857344000
108,33,7,1586857350000
56,31,9,1586857452000
18,27,3,1586857497000
13,24,4,1586857317000
31,15,5,1586857284000
98,32,8,1586857237000
23,9,21,1586857239000
106,31,9,1586857440000
112,7,22,1586857482000
74,17,13,1586857432000
63,20,14,1586857352000
113,32,8,1586857249000
91,19,11,1586857214000
67,36,4,1586857352000
116,24,6,1586857307000
55,31,4,1586857452000
62,23,17,1586857259000
97,36,4,1586857463000
61,16,9,1586857346000
73,30,0,1586857409000
49,19,19,1586857479000
19,9,21,1586857287000
58,34,6,1586857393000
8,22,8,1586857307000
16,11,9,1586857466000
96,19,10,1586857444000
82,13,8,1586857363000
71,40,0,1586857492000
79,8,19,1586857291000
69,7,33,1586857441000
25,15,15,1586857462000
51,36,3,1586857364000
37,22,8,1586857240000
59,14,4,1586857426000
95,22,18,1586857396000
105,29,7,1586857488000
36,26,14,1586857432000
93,34,6,1586857489000
110,35,5,1586857351000
34,21,8,1586857265000
75,37,3,1586857274000
111,35,5,1586857386000
26,8,12,1586857399000
